Title,Author,Subtitle,ISBN,Status,Rating,Pages,Publisher,Series,Country,Language,Ownership,Copies,Genres,Themes,Moods,Tropes,Tags,Seasonal,Collections,One-line recommendation,Confidence,Why I recommend it,Personal notes,Finished,Added,Times recommended,Last recommended
The Jade City,Fonda lee,,,want-to-read,,560,Orbit Books,Green Bone Saga #1,Canada,English,,,Fantasy; Urban Fantasy,family loyalty; power and corruption; tradition vs modernization; honor; legacy,tense; action-packed; dramatic; atmospheric; dark,crime family; rival clans; hard magic system; sibling dynamics,Asian fantasy; crime family drama; martial arts magic; book club pick; AAPI Month read; epic fantasy saga; level:advanced,Autumn read; AAPI Heritage Month,World Bookshelf; Dark & Atmospheric,"A thrilling, martial-arts-infused Godfather-style fantasy saga about family, power, and magical jade.",,,,,,0,
the Ashfire king,Chelsea Abdullah,,,want-to-read,,480,Orbit,The Sandwoven Trilogy,United States,English,,,Fantasy; Epic Fantasy,identity; loyalty; power; survival; found family; heritage,atmospheric; adventurous; mysterious; tense,hidden identity; ancient magic; quest; jinn lore,Arabian mythology; Middle Eastern fantasy; jinn fantasy; epic quest; fantasy sequel; level:intermediate,Autumn; Winter read; Rainy day read,World Bookshelf; Dark & Atmospheric,"An immersive, jinn-infused fantasy sequel filled with rich folklore, intricate magic, and high-stakes adventure.",,,,,,0,
The Stardust Thief,Chelsea Abdullah,,,want-to-read,,480,Orbit,The Sandsea Trilogy #1,Kuwait,English,,,Fantasy; High Fantasy; Mythology,identity; found family; trust; magic; survival; legacy,atmospheric; adventurous; magical; mysterious,relic hunter; bodyguard duty; reluctant hero; quest; hidden identity,Arab-inspired fantasy; Arabian Nights retelling; jinn lore; book club pick; debut novel; desert adventure; relic hunter; level:intermediate,Summer read; Middle Eastern Heritage Month,World Bookshelf; Dark & Atmospheric,"A spellbinding Arab-inspired fantasy filled with clever relic hunters, dangerous jinn, and a high-stakes desert quest.",,,,,,0,
The Hidden Palace,Helene wecker,,,want-to-read,,480,Harper,The Golem and the Jinni #2,United States,English,,,Fantasy; Historical Fiction,identity; belonging; immigrant experience; secrecy; friendship; duty vs desire,atmospheric; enchanting; reflective; immersive,opposites attract; hidden identity; mythical creatures in human world,Jewish folklore; Arabian mythology; historical fantasy; early 20th century; New York City; sequel; book club pick; level:intermediate,Autumn read; rainy day read; Winter read,World Bookshelf; Dark & Atmospheric,"A deeply captivating, atmospheric historical fantasy that brilliantly explores identity, connection, and mythical heritage.",,,,,,0,
The Tapestry of Fate,Shannon chakraborty,,,want-to-read,,,,,United States,English,,,Fantasy; Historical Fantasy,fate; destiny; magic; power; identity; family legacy,atmospheric; adventurous; mysterious; rich,ancient magic; threads of fate; hidden identity,Shannon Chakraborty; fantasy read; mythology inspired; immersive worldbuilding; book club pick; level:intermediate,Autumn; winter read; rainy day read,World Bookshelf; Dark & Atmospheric,An atmospheric and spellbinding fantasy perfect for fans of intricate worldbuilding and mythology-infused tales.,,,,,,0,
The Empire of Gold,S.A. chakraborty,,,want-to-read,,768,Harper Voyager,The Daevabad Trilogy #3,United States,English,,,Fantasy; Epic Fantasy; Historical Fantasy,power; identity; war; heritage; found family; compromise,epic; tense; emotional; atmospheric,royal politics; forbidden magic; enemies to allies,Middle Eastern folklore; epic fantasy finale; djinn mythology; diverse fantasy; book club pick; thick book read; level:advanced,Winter binge read; Summer fantasy read,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric,"A grand, emotionally satisfying conclusion to a masterclass in Middle Eastern-inspired epic fantasy.",,,,,,0,
The Kingdom of Copper,S.A. chakraborty,,,want-to-read,,,,,United States,English,,,Fantasy; Historical Fiction,identity; culture; empowerment; self-discovery; friendship,hopeful; inspiring; magical,royal politics; rebellion; morally grey alliances,Indian author; Middle Eastern mythology; book club pick; Diverse Reads; Fantasy Adventure; level:intermediate,Diwali; Women's History Month,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Comfort Reads,"A lush, magical tale of self-discovery and empowerment set in a richly imagined world.",high,,,,,0,
The City of Brass,S.A. chakraborty,,,want-to-read,,,,,United States,English,,,Fantasy; Historical Fiction,identity; power; culture; colonialism; war; found family,atmospheric; vibrant; intense; emotional,hidden city; djinn politics; reluctant heroine,Middle Eastern author; fantasy retelling; book club pick; diverse fiction; strong female lead; level:intermediate,Diwali; Women's History Month,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric,"A lush, immersive fantasy set in 18th century Cairo, perfect for fans of Middle Eastern mythology and strong female protagonists.",must-recommend,,,,,0,
the queen's Spy,Clare marchant,,,want-to-read,,,,,United Kingdom,English,,,Historical Fiction; Thriller,loyalty; deception; power; betrayal,gripping; intense; fast-paced,period setting; social constraints; twist ending; unreliable narrator,historical fiction; spy thriller; book club pick; women's fiction; under 400 pages,Women's History Month,World Bookshelf; Dark & Atmospheric; Page-Turners,"A gripping tale of loyalty, deception, and power, set against the backdrop of 16th-century Europe.",,,,,,0,
the Persian boy,Mary renault,,,want-to-read,,,,,Ancient Persia,,,,Historical Fiction; Literary Fiction,identity; coming of age; war; friendship,emotional; reflective; inspiring,period setting; social constraints; character-driven; interiority,Ancient Greece; historical fiction; book club pick; classics; translated fiction; level:intermediate; gem:classic,World History Month,World Bookshelf; Civilizations Through Books; Civilization · Greece; Around the World in 52 Books; Civilization · Persia; Heartbreaking Reads; Slow Literary,"A beautifully written and poignant exploration of identity, culture, and the complexities of human relationships.",,,,,,0,
Mistress of Rome,Kate quinn,,,want-to-read,,,,,Italy,,,,Historical Fiction; Romance,power; love; ambition,sensual; intense; romantic,forced proximity; marriage of convenience,historical romance; ancient rome; regency romance; book club pick; adult fiction,Valentine's Day; Women's History Month,World Bookshelf; Civilizations Through Books; Civilization · Rome; Around the World in 52 Books; Dark & Atmospheric,"A sweeping historical romance set in ancient Rome, perfect for fans of Outlander.",,,,,,0,
the Spanish love desception,Elena armas,,,want-to-read,,,,,Spain,Spanish,,,Romance; Literary Fiction,deception; love; identity,emotional; intense,slow burn; emotional payoff; character-driven; interiority,Spanish author; domestic drama; book club pick; women's fiction; level:intermediate,Valentine's Day; Women's History Month,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric,"A poignant exploration of love, identity, and the complexities of human relationships.",,,,,,0,
In to the Blue,Ema Brodie,,,want-to-read,,,,,United States,English,,,Literary Fiction; Contemporary Fiction,identity; self-discovery; relationships; artistic expression; healing,reflective; atmospheric; bittersweet; emotional,character-driven; interiority,American author; contemporary fiction; literary fiction; book club pick; summer read; emotional journey; level:intermediate,Summer Read; Vacation Read; Beach Read,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric; Slow Literary,"A beautifully written, atmospheric novel about self-discovery, memory, and finding one's path.",,,,,,0,
Girl Who Fell Beneath the Sea,Axie Oh,,,want-to-read,,320,Feiwel & Friends,,South Korea,English,,,Fantasy; Young Adult; Mythology,sacrifice; family devotion; fate; love; curse breaking,magical; atmospheric; whimsical; romantic; hopeful,mortal in spirit world; mythology retelling; sacrifice for family; sleeping god,Korean mythology; Asian author; YA fantasy; book club pick; AAPI author; folklore retelling; level:intermediate,AAPI Heritage Month; rainy day read; autumn read,World Bookshelf; East Asia Shelf; Around the World in 52 Books; Comfort Reads; Dark & Atmospheric,"A spellbinding, Spirited Away-esque Korean folklore retelling filled with rich world-building and tender romance.",,,,,,0,
When in Rome,Sarah Adams,,,want-to-read,,,,,United Kingdom,English,,,Romance; Historical Fiction,identity; social class; self-discovery,witty; romantic; engaging,slow burn; emotional payoff; period setting; social constraints,Regency era; historical romance; book club pick; light read,Valentine's Day; Women's History Month,World Bookshelf; Civilizations Through Books; Civilization · Rome; Around the World in 52 Books,"A delightful, witty romance set in 19th-century England.",,,,,,0,
First Time Caller,B.K. Borison,,,want-to-read,,,,,United States,English,,,Literary Fiction; Thriller,identity; trauma; mental health,tense; thought-provoking; emotional,character-driven; interiority; twist ending; unreliable narrator,debut author; Indian author; book club pick; mystery; level:intermediate,Diwali; Women's History Month,India Bookshelf; Indian Literary Fiction; Heartbreaking Reads; Dark & Atmospheric; Page-Turners,"A twisty, thought-provoking thriller that will keep you on the edge of your seat.",,,,,,0,
Mr. wrong number,Lynn Painter,,,want-to-read,,,,,United States,English,,,Romance; Women's Fiction,friendship; love; self-discovery; growth,heartwarming; uplifting; humorous,mistaken identity; forced proximity,romantic comedy; light read; beach read; summer vibes; book club pick,Summer; Beach Read,World Bookshelf; Comfort Reads,"A fun, lighthearted romance about friends who become something more.",,,,,,0,
Practice Makes Perfect,Sarah Adams,,,want-to-read,,,,,United States,English,,,Romance; Contemporary Romance,second chances; small town; self-worth; friendship,warm; witty; romantic; uplifting,friends to lovers; forced proximity; small town romance,romantic comedy; light read; book club pick; level:beginner,Summer read; Valentine's Day,World Bookshelf; Comfort Reads,"A warm, witty romance about finding confidence and the person who already sees you.",medium,,,,,0,
The Happily Ever After Playlist,Abby Jimenez,,,want-to-read,,,,,United States,English,,,Romance; Contemporary Romance,grief; healing; music; found family; second chances,emotional; warm; bittersweet; hopeful,grumpy sunshine; musician romance; emotional healing,romantic comedy; tearjerker romance; book club pick; level:beginner,Valentine's Day; rainy day read,World Bookshelf; Heartbreaking Reads; Comfort Reads,"An emotionally rich rom-com about grief, music, and learning to love again.",high,,,,,0,
Book Lovers,Emily Henry,,,want-to-read,,,,,United States,English,,,Romance; Contemporary Romance,ambition; family; small town; publishing; identity,witty; romantic; warm; sharp,enemies to lovers; forced proximity; workplace rivalry,romantic comedy; publishing world; summer read; book club pick; level:beginner,Summer read; Vacation Reads,World Bookshelf; Comfort Reads,A sharp enemies-to-lovers rom-com set between NYC publishing and a sleepy lakeside town.,must-recommend,,,,,0,
Yours Truly,Abby Jimenez,,,want-to-read,,,,,United States,English,,,Romance; Contemporary Romance,loneliness; friendship; workplace; anxiety; belonging,warm; funny; tender; hopeful,workplace romance; fake relationship adjacent; email romance,romantic comedy; hospital setting; book club pick; level:beginner,Valentine's Day; Comfort Reads,World Bookshelf; Comfort Reads,"A tender workplace rom-com about loneliness, friendship, and unexpected connection.",high,,,,,0,
Part of Your World,Abby Jimenez,,,want-to-read,,,,,United States,English,,,Romance; Contemporary Romance,class difference; hometown; ambition; belonging,emotional; romantic; warm,small town romance; opposites attract; second chance,romantic comedy; book club pick; level:beginner,Summer read; Valentine's Day,World Bookshelf; Heartbreaking Reads; Comfort Reads,"A heartfelt small-town romance about ambition, belonging, and choosing your own world.",high,,,,,0,
The Cheat Sheet,Sarah Adams,,,want-to-read,,,,,United States,English,,,Romance; Contemporary Romance,friendship; fame; small town; vulnerability,witty; warm; romantic,friends to lovers; fake dating; celebrity romance,romantic comedy; light read; level:beginner,Summer read; Valentine's Day,World Bookshelf; Comfort Reads,A charming friends-to-lovers rom-com with fake dating and small-town spark.,medium,,,,,0,
Summer in the City,Alex Aster,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
Talking at Night,Claire Daverley,,,want-to-read,,,,,United Kingdom,English,,,,,,,,,World Bookshelf,,,,,,,0,
The Convenience Store by the Sea,Sonoko Machida,,,want-to-read,,,,,Japan,,,,,,,,,,World Bookshelf; Civilizations Through Books; Civilization · Japan; Around the World in 52 Books; East Asia Shelf,,,,,,,0,
The House in the Cerulean Sea,T.J. Klune,,,want-to-read,,,,,United States,English,,,Fantasy; Contemporary Fantasy,found family; bureaucracy; acceptance; belonging; love,cozy; hopeful; whimsical; tender,found family; magical orphans; slow burn romance,cozy fantasy; LGBTQ+; comfort read; book club pick; gem:popular; level:beginner,Cozy Weekend; rainy day read,World Bookshelf; Comfort Reads,"A cozy, queer found-family fantasy that feels like a warm hug with a bureaucratic edge.",must-recommend,,,,,0,
Divine Rivals,Rebecca Ross,,,want-to-read,,,,,United States,English,,,Fantasy; romantasy; Young Adult,war; ambition; letters; rivalry; love,romantic; atmospheric; bittersweet,enemies to lovers; pen pals; wartime romance,romantasy; YA crossover; booktok; level:intermediate,Autumn read; Valentine's Day,World Bookshelf; Dark & Atmospheric,A lyrical wartime romantasy of rival writers falling in love through letters.,high,,,,,0,
The Lion Women of Tehran,Marjan Kamali,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
Once Upon a Broken Heart,Stephanie Garber,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
The Cruel Prince,Holly Black,,,want-to-read,,,,,United States,English,,,Fantasy; Young Adult; Dark Fantasy,power; belonging; revenge; politics; identity,dark; sharp; tense; atmospheric,enemies to lovers; mortal in faerie court; political intrigue,faerie fantasy; YA dark fantasy; booktok; level:intermediate,Autumn read; Halloween,World Bookshelf; Dark & Atmospheric,"A viciously clever faerie-court fantasy of power, belonging, and dangerous attraction.",high,,,,,0,
The Butcher,Jennifer Hillier,,,want-to-read,,,,,Canada,English,,,,,,,,,World Bookshelf,,,,,,,0,
You Killed Me First,John Marrs,,,want-to-read,,,,,United Kingdom,English,,,,,,,,,World Bookshelf,,,,,,,0,
That'S Not My Name,Megan Lally,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
Never lie,Freida McFadden,,,want-to-read,,,,,United States,English,,,Thriller; Mystery,deception; marriage; secrets; danger,tense; twisty; unsettling,unreliable narrator; isolated house; twist ending,psychological thriller; quick read; level:beginner,rainy day read; Halloween,World Bookshelf; Dark & Atmospheric; Page-Turners,A twisty locked-house thriller that keeps yanking the rug out from under you.,medium,,,,,0,
Morning Star,Pierce Brown,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
Red Rising,Pierce Brown,,,want-to-read,,,,,United States,English,,,Science Fiction; Dystopia,class oppression; rebellion; identity; vengeance,intense; brutal; propulsive,underdog; infiltration; revolution,sci-fi saga; book club pick; level:intermediate,Winter binge read,World Bookshelf; Dark & Atmospheric,"A brutal, propulsive sci-fi uprising story with mythic ambition.",high,,,,,0,
The surviving sky,Kritika H. Rao,,,want-to-read,,,,,Canada,English,,,,,,,,,World Bookshelf,,,,,,,0,
The startouched Queen,Roshani Chokshi,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
The tiger at midnight,Swati Teerdhala,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
The Phoenix king,Aparna Verma,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
the Library of fates,Aditi Khorana,,,want-to-read,,,,,United States,English,,,,,,,,,World Bookshelf,,,,,,,0,
Mom Unfiltered,Leah kim,,,want-to-read,,,,,South Korea,,,,Memoir; Self-Help; Non-Fiction,motherhood; honesty; self-discovery,inspirational; honest; relatable,personal reckoning; voice-driven,motherhood story; honest memoir; self-help book; book club pick; memoir by a woman,,World Bookshelf; East Asia Shelf; Around the World in 52 Books,A raw and honest look at motherhood that will resonate with many.,,,,,,0,
A Thousand Blues,Cheon Seon-ran,,,want-to-read,,,,,South Korea,Korean,,,Literary Fiction; Poetry,grief; identity; mental health; loss; self-discovery,heartbreaking; hopeful; contemplative,character-driven; interiority,Korean author; debut novel; poetic prose; emotional read; under 300 pages; level:intermediate,Mental Health Awareness Month,World Bookshelf; East Asia Shelf; Around the World in 52 Books; Heartbreaking Reads; Comfort Reads,A beautifully written debut novel that will resonate with anyone who has experienced loss.,,,,,,0,
The Future Perfect,Cay Kim,,,want-to-read,,,,,South Korea,English,,,Literary Fiction; Science Fiction,identity; technology; society; existentialism; human condition,thought-provoking; atmospheric; contemplative,dystopian future; artificial intelligence,book club pick; translated fiction; under 300 pages; award-winning; feminist literature; level:intermediate,World Science Fiction Day,World Bookshelf; East Asia Shelf; Around the World in 52 Books; Dark & Atmospheric,A haunting and timely exploration of what it means to be human in a world where technology is rapidly changing.,,,,,,0,
The Devoted,Catherine cho,,,want-to-read,,,,,South Korea,English,,,Literary Fiction; Fiction,family; identity; motherhood,heartbreaking; hopeful,character-driven; interiority,Korean author; mother-daughter relationship; book club pick; domestic fiction; level:intermediate,,World Bookshelf; East Asia Shelf; Around the World in 52 Books; Heartbreaking Reads; Comfort Reads,A beautifully written exploration of the intricate bonds between mothers and daughters.,,,,,,0,
the Seoul letter shop,Baek Seungyeon,,,want-to-read,,,,,South Korea,Korean,,,Literary Fiction; Romance,love; identity; culture; family,heartwarming; emotional; intimate,character-driven; interiority; slow burn; emotional payoff,Korean author; epistolary novel; book club pick; heartwarming story; level:intermediate,Valentine's Day; Mother's Day,World Bookshelf; East Asia Shelf; Around the World in 52 Books; Heartbreaking Reads; Comfort Reads,A beautifully written love story that explores the complexities of family and identity.,,,,,,0,
Song for Another Home,Bora lee reed,,,want-to-read,,,,,South Korea,English,,,Literary Fiction; Mythology,identity; belonging; home; displacement; culture,contemplative; hopeful; atmospheric,character-driven; interiority; mythology retelling; divine politics,Korean author; mythology story; book club pick; translated fiction; level:intermediate,Korean New Year,World Bookshelf; East Asia Shelf; Around the World in 52 Books; Comfort Reads; Dark & Atmospheric,"A beautifully written, thought-provoking novel that will resonate with anyone who has ever felt like they don't quite fit in.",,,,,,0,
Bhima'S Wife,Kavita kane,,,want-to-read,,,,,India,English,,,Historical Fiction; Literary Fiction,grief; identity; partition; war,heartbreaking; hopeful,period setting; social constraints; character-driven; interiority; historical trauma,Indian author; partition story; book club pick; translated fiction; level:intermediate,Diwali; Women's History Month,India Bookshelf; Partition Stories; Indian Historical Fiction; Indian Literary Fiction; Heartbreaking Reads; Comfort Reads,A beautifully written and thought-provoking exploration of India's turbulent past.,,,,,,0,
Radha,Neelima Dalmia adhar,,,want-to-read,,,,,India,English,,,Literary Fiction; Mythology,grief; identity; found family,heartbreaking; hopeful,character-driven; interiority; mythology retelling; divine politics,Indian author; mythology story; book club pick; translated fiction; level:intermediate,Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Literary Fiction; Heartbreaking Reads; Comfort Reads,A poignant exploration of Indian mythology and identity.,,,,,,0,
The Goddess Queen,Alice Roberts,,,want-to-read,,,,,Greece,,,,Fantasy; Historical Fiction,power; identity; motherhood; war; sacrifice,epic; atmospheric; emotional,chosen one; feminist retelling,Greek mythology; strong female lead; book club pick; fantasy fiction; historical fantasy; level:intermediate,Women's History Month; International Women's Day,World Bookshelf; Civilizations Through Books; Civilization · Greece; Around the World in 52 Books; Heartbreaking Reads; Dark & Atmospheric,"A beautifully written, epic retelling of Greek mythology that explores themes of power, identity, and motherhood.",,,,,,0,
Indian Mythology,Jan knappert,,,want-to-read,,,,,India,English,,,Mythology; Folklore,culture; tradition; diversity,atmospheric; educational,mythology retelling; divine politics,Indian author; mythology story; children's book; cultural heritage; diverse read; level:intermediate,,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Dark & Atmospheric,A stunning introduction to Indian mythology for young readers.,,,,,,0,
king of Ayodhya,Ashok K. Banker,,,want-to-read,,,,,India,English,,,Historical Fiction; Mythology,grief; identity; war; found family,heartbreaking; hopeful,period setting; social constraints; mythology retelling; divine politics,Indian author; Hindu mythology; book club pick; translated fiction; level:intermediate,Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Heartbreaking Reads; Comfort Reads,A beautifully written retelling of the Ramayana that explores the complexities of Rama's character.,,,,,,0,
Bridge of Rama,Ashok K. Banker,,,want-to-read,,,,,India,English,,,Mythology; Fantasy,faith; identity; war; sacrifice; redemption,epic; atmospheric; thought-provoking,mythology retelling; divine politics; unique magic system; quest,Indian author; Hindu mythology; book club pick; translated fiction; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Dark & Atmospheric,A beautifully written retelling of the Ramayana that will transport you to ancient India.,,,,,,0,
armies of Hanuman,Ashok K. Banker,,,want-to-read,,,,,India,English,,,Mythology; Fantasy,faith; war; identity; power; good vs evil,epic; atmospheric; inspiring,mythology retelling; divine politics; unique magic system; quest,Indian author; Hindu mythology; book club pick; translated fiction; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Dark & Atmospheric,"A fresh take on a timeless epic, perfect for fans of mythology and adventure.",,,,,,0,
Siege of Mithila,Ashok K. Banker,,,want-to-read,,,,,India,English,,,Fantasy; Epic Fantasy; Mythology,war; sacrifice; loyalty; power struggle; identity,epic; intense; gripping,unique magic system; quest; mythology retelling; divine politics,Indian author; Hindu mythology; Ramayana retelling; book club pick; epic fantasy; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Dark & Atmospheric,A gripping and intense retelling of the Ramayana that will keep you on the edge of your seat.,,,,,,0,
