Title,Subtitle,Author,Author Gender,Country,Original Language,Translator,Publication Year,Pages,ISBN,Cover URL,Fiction / Non-fiction,Primary Genre,Secondary Genre,Subgenre,Audience,Series,Series Name,Series Number,Standalone,Themes,Mood / Reading Experience,,Search Tags,Female Author,Female Protagonist,Women Focus,Collections,Recommendation Occasion,Reading Level,Similar Books,One-line Recommendation,Short Description,Instagram Hook,Instagram Post Topic,Best Posting Month,Chapters.Aur.Chai Rating,Read Status,Date Read,Format Read,Owned,Wishlist,Awards,Bestseller,Adaptation,BookTok Popular,Bookstagram Popular
She Who Became the Sun,—,Shelley Parker-Chan,Non-binary,Australia,English,—,2021,416,—,—,Fiction,Historical Fiction,Fantasy,Historical Epic,Adult,Yes,Radiant Emperor Duology,1,No,"Ambition, Identity, Destiny, Survival","Epic, Gritty, Atmospheric","Gender Identity, Rise to Power","Historical Fantasy, LGBTQ+, Award-winning, Asian-inspired Fantasy",No,Yes,Primary,"Historical Fantasy, Asian Fantasy",Epic Read,Advanced,"The Poppy War, The Grace of Kings, The Jasmine Throne",A magnificent reimagining of the rise of the Ming dynasty through one extraordinary protagonist.,One of the most acclaimed Asian-inspired fantasies of recent years.,She refused the fate history chose for her.,Books with Powerful Female Leads,August,,,,,,Yes,Hugo Award Finalist,Yes,TV Rights,High,High
The Poppy War,—,R. F. Kuang,Female,USA / China,English,—,2018,544,—,—,Fiction,Fantasy,Historical Fiction,Grimdark Fantasy,Adult,Yes,The Poppy War Trilogy,1,No,"War, Power, Revenge, Colonialism","Dark, Brutal, Intense","Military Academy, Chosen One, War","Grimdark Fantasy, BookTok, Women Author, Asian-inspired Fantasy",Yes,Yes,Primary,Grimdark Fantasy,Dark Fantasy Read,Advanced,"Babel, She Who Became the Sun, Jade City","A brutal fantasy examining war, power, and colonialism through unforgettable storytelling.","One of modern fantasy's defining novels, combining military fantasy with historical inspiration.",This isn't the fantasy you think you're getting.,Dark Fantasy Everyone Should Read,October,,,,,,Yes,Multiple Awards,Yes,In Development,Very High,Very High
The Scarlet Alchemist,—,Kylie Lee Baker,Female,USA,English,—,2023,416,—,—,Fiction,Fantasy,Historical Fantasy,YA Fantasy,Young Adult,Yes,The Scarlet Alchemist,1,No,"Ambition, Family, Magic, Sacrifice","Fast-paced, Magical, Emotional","Competition, Forbidden Magic","YA Fantasy, Chinese-inspired Fantasy, Women Author",Yes,Yes,Primary,YA Fantasy,Magic School Read,Intermediate,"Iron Widow, Six Crimson Cranes, Daughter of the Moon Goddess","A magical fantasy blending alchemy, family, and ambition.",An imaginative YA fantasy featuring Chinese-inspired mythology and compelling world-building.,Magic always asks for a price.,YA Fantasy with Strong Heroines,September,,,,,,Yes,—,No,High,High,
Iron Widow,—,Xiran Jay Zhao,Non-binary,Canada,English,—,2021,394,—,—,Fiction,Science Fiction,Fantasy,Mecha Fantasy,Young Adult,Yes,Iron Widow,1,No,"Revenge, Feminism, Power, Justice","Furious, Action-packed, Empowering","Revenge, Love Triangle, Mecha","YA Sci-Fi, Feminist Fiction, BookTok, Asian-inspired Fantasy",No,Yes,Primary,"Feminist Fantasy, YA Sci-Fi",Action Read,Intermediate,"Pacific Rim, The Poppy War, The Hunger Games",A fierce feminist sci-fi fantasy that challenges patriarchy with explosive action.,"Giant mechas, Chinese history, and unapologetic feminism make this a standout YA novel.",She wasn't born to obey. She was born to destroy.,Feminist Fantasy Books,March,,,,,,Yes,Goodreads Choice Nominee,Yes,In Development,Very High,Very High
The Grace of Kings,—,Ken Liu,Male,USA,English,—,2015,640,—,—,Fiction,Fantasy,Historical Fiction,Silkpunk Fantasy,Adult,Yes,Dandelion Dynasty,1,No,"Revolution, Brotherhood, Leadership, Empire","Epic, Political, Immersive","Rebellion, Multiple POV","Epic Fantasy, Asian-inspired Fantasy, Silkpunk",No,No,Secondary,Epic Fantasy,Long Read,Advanced,"Jade City, The Poppy War, The Dandelion Dynasty",A masterful epic fantasy inspired by East Asian history and mythology.,Ken Liu introduces the remarkable Silkpunk world with unforgettable characters and sweeping politics.,Empire begins with one impossible dream.,Asian-Inspired Epic Fantasy,November,,,,,,Yes,Locus Award Winner,Yes,No,Moderate,Moderate
Jade City,—,Fonda Lee,Female,Canada,English,—,2017,496,—,—,Fiction,Fantasy,Crime,Urban Fantasy,Adult,Yes,Green Bone Saga,1,No,"Family, Loyalty, Power, Crime","Gritty, Fast-paced, Intense","Crime Family, Political Conflict","Urban Fantasy, Asian-inspired Fantasy, Family Saga, BookTok",Yes,Yes,Secondary,Urban Fantasy,Crime Fantasy Read,Advanced,"The Godfather, Green Bone Saga, The Poppy War","A gripping urban fantasy blending family loyalty, crime, and magical jade.",Family politics meet martial arts and organized crime in one of fantasy's most original series.,Think The Godfather—but with magic.,Fantasy Books Everyone Should Read,October,,,,,,Yes,World Fantasy Award,Yes,TV Rights,Very High,Very High
The Ashfire King,—,Chelsea Abdullah,Female,Kuwait / USA,English,—,2025,—,—,—,Fiction,Fantasy,Epic Fantasy,Middle Eastern Fantasy,Adult,Yes,The Sandsea Trilogy,2,No,"Destiny, Magic, Family, Adventure","Epic, Adventurous, Atmospheric","Quest, Ancient Magic","Middle Eastern Fantasy, Women Author, Epic Fantasy",Yes,Yes,Primary,Middle Eastern Fantasy,Epic Fantasy Read,Intermediate,"The Stardust Thief, City of Brass, The Adventures of Amina al-Sirafi","A thrilling continuation filled with magic, destiny, and Middle Eastern folklore.",Chelsea Abdullah expands her enchanting world with higher stakes and unforgettable adventures.,Every kingdom has a fire waiting to awaken.,Middle Eastern Fantasy Books,September,,,,,,Yes,—,Yes,Growing,Growing,
The Stardust Thief,—,Chelsea Abdullah,Female,Kuwait / USA,English,—,2022,480,—,—,Fiction,Fantasy,Adventure,Middle Eastern Fantasy,Adult,Yes,The Sandsea Trilogy,1,No,"Stories, Destiny, Magic, Family","Magical, Adventurous, Immersive","Quest, Found Family, Relics","Middle Eastern Fantasy, Arabian Folklore, Women Author",Yes,Yes,Primary,Middle Eastern Fantasy,Adventure Read,Intermediate,"City of Brass, The Ashfire King, One Thousand and One Nights",A magical adventure inspired by Arabian folklore and unforgettable storytelling.,Rich world-building and memorable characters make this a must-read fantasy.,Every legend begins with a stolen story.,Arabian Nights Inspired Books,September,,,,,,Yes,Goodreads Choice Nominee,Yes,High,High,
The Hidden Palace,—,Helene Wecker,Female,USA,English,—,2021,480,—,—,Fiction,Historical Fantasy,Literary Fantasy,Magical Realism,Adult,Yes,The Golem and the Jinni,2,No,"Belonging, Identity, Friendship, Love","Atmospheric, Reflective, Magical","Mythical Creatures, Immigrant Story","Historical Fantasy, Literary Fantasy, Jewish Folklore, Middle Eastern Folklore, Women Author",Yes,Yes,Secondary,"Historical Fantasy, Literary Fantasy",Atmospheric Read,Advanced,"The Golem and the Jinni, Jonathan Strange & Mr Norrell, Piranesi","A beautifully written historical fantasy exploring identity, belonging, and friendship.",Helene Wecker delivers another enchanting tale blending folklore with immigrant history.,Some magic is found in the people who choose to stay.,Literary Fantasy Recommendations,December,,,,,,Yes,—,No,Moderate,Moderate,
The Tapestry of Fate,—,Shannon Chakraborty,Female,USA,English,—,2025,—,—,—,Fiction,Fantasy,Historical Fantasy,Middle Eastern Fantasy,Adult,Yes,The Adventures of Amina al-Sirafi Universe,—,No,"Destiny, Magic, Family, Adventure","Epic, Atmospheric, Adventurous","Ancient Magic, Quest","Middle Eastern Fantasy, Women Author, Epic Fantasy, Adventure",Yes,Yes,Primary,"Middle Eastern Fantasy, Epic Fantasy",Epic Fantasy Read,Advanced,"The Stardust Thief, The City of Brass, The Adventures of Amina al-Sirafi","A sweeping fantasy woven with destiny, mythology, and unforgettable adventure.","Shannon Chakraborty returns with another immersive tale inspired by Middle Eastern folklore, filled with magic, political intrigue, and richly developed characters.",Some destinies are written long before we're born.,Best Middle Eastern Fantasy Books,September,,,,,,Yes,—,No,Growing,Growing,
The Empire of Gold,—,S. A. Chakraborty,Female,USA,English,—,2020,766,—,—,Fiction,Fantasy,Historical Fantasy,Middle Eastern Fantasy,Adult,Yes,The Daevabad Trilogy,3,No,"Power, Family, Identity, War","Epic, Emotional, Immersive","Political Intrigue, Found Family","Middle Eastern Fantasy, Epic Fantasy, Women Author, Magic",Yes,Yes,Primary,Middle Eastern Fantasy,Series Finale,Advanced,"The Kingdom of Copper, The Stardust Thief, Jade City",A spectacular conclusion to one of modern fantasy's finest trilogies.,"Political conflict, unforgettable characters, and magical world-building culminate in an epic finale to the Daevabad Trilogy.",A kingdom built on magic can also fall because of it.,Fantasy Series Worth Finishing,November,,,,,,Yes,Locus Award Finalist,No,High,High,
The Kingdom of Copper,—,S. A. Chakraborty,Female,USA,English,—,2019,640,—,—,Fiction,Fantasy,Historical Fantasy,Middle Eastern Fantasy,Adult,Yes,The Daevabad Trilogy,2,No,"Loyalty, Politics, Identity, Magic","Epic, Atmospheric, Emotional","Political Intrigue, Multiple POV","Middle Eastern Fantasy, Women Author, Epic Fantasy",Yes,Yes,Primary,Middle Eastern Fantasy,Long Weekend Read,Advanced,"The Empire of Gold, The City of Brass, The Jasmine Throne",A brilliant sequel where politics become deadlier than magic.,"Expands the Daevabad world with complex alliances, betrayals, and emotionally rich character arcs.",Power changes everyone. Even heroes.,Best Fantasy Sequels,October,,,,,,Yes,—,No,High,High,
The City of Brass,—,S. A. Chakraborty,Female,USA,English,—,2017,544,—,—,Fiction,Fantasy,Historical Fantasy,Middle Eastern Fantasy,Adult,Yes,The Daevabad Trilogy,1,No,"Identity, Destiny, Magic, Power","Adventurous, Magical, Immersive","Hidden Heritage, Chosen One","Middle Eastern Fantasy, Women Author, Series Starter, Adventure",Yes,Yes,Primary,"Middle Eastern Fantasy, Fantasy Starters",Series Starter,Intermediate,"The Stardust Thief, The Golem and the Jinni, The Grace of Kings",The perfect gateway into Middle Eastern-inspired fantasy.,"Rich mythology, unforgettable characters, and breathtaking world-building make this one of the best fantasy debuts of the decade.",One con changes everything.,Fantasy Books Everyone Should Read,August,,,,,,Yes,Crawford Award Finalist,No,High,High,
The Queen's Spy,—,Clare Marchant,Female,UK,English,—,2024,352,—,—,Fiction,Historical Fiction,Mystery,Tudor Fiction,Adult,No,—,—,Yes,"Espionage, Loyalty, Secrets, History","Suspenseful, Atmospheric","Dual Timeline, Court Intrigue","Historical Fiction, Tudor England, Women Author",Yes,Yes,Primary,Historical Fiction,Historical Weekend Read,Intermediate,"The Queen's Gambit, The Paris Library, The Rose Code","A suspenseful Tudor novel filled with secrets, loyalty, and royal intrigue.",Clare Marchant blends historical fiction with espionage to create a gripping and immersive read.,Every queen needs someone willing to lie for her.,Tudor Historical Fiction,April,,,,,,Yes,—,No,Moderate,Moderate,
The Persian Boy,—,Mary Renault,Female,UK,English,—,1972,352,—,—,Fiction,Historical Fiction,Literary Fiction,Ancient History,Adult,No,—,—,Yes,"Identity, Love, War, Loyalty","Reflective, Emotional",Historical Biography,"Ancient Greece, LGBTQ+, Historical Fiction, Classic",Yes,No,Secondary,Historical Classics,Literary Read,Advanced,"Fire from Heaven, Circe, Song of Achilles","A timeless historical novel exploring love, loyalty, and Alexander the Great's world.",Mary Renault's classic remains one of the finest works of ancient historical fiction ever written.,History remembers kings—but not always those who loved them.,Classics That Still Hold Up,February,,,,,,Yes,—,No,Moderate,Moderate,
Mistress of Rome,—,Kate Quinn,Female,USA,English,—,2010,560,—,—,Fiction,Historical Fiction,Romance,Ancient Rome,Adult,Yes,The Empress of Rome Saga,1,No,"Power, Survival, Love, Freedom","Dramatic, Emotional","Forbidden Love, Political Intrigue","Ancient Rome, Historical Fiction, Women Author",Yes,Yes,Primary,Ancient Rome Fiction,Historical Escape,Intermediate,"The Wolf Den, Daughters of Rome, Pompeii","Ancient Rome comes alive through politics, passion, and unforgettable heroines.",Kate Quinn masterfully combines historical accuracy with compelling storytelling and emotional depth.,Surviving Rome was its own kind of rebellion.,Ancient Rome Book Recommendations,July,,,,,,Yes,Bestseller,No,Moderate,High,
The Spanish Love Deception,—,Elena Armas,Female,Spain,English,—,2021,480,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,No,—,—,Yes,"Love, Trust, Family, Career","Romantic, Funny, Feel-good","Fake Dating, Workplace Romance, Slow Burn","Romance, BookTok, Rom-Com, Women Author",Yes,Yes,Primary,Romantic Comedies,Vacation Read,Beginner,"The Love Hypothesis, Beach Read, Book Lovers",A delightful fake-dating romance overflowing with chemistry and humor.,"One of BookTok's biggest romance hits featuring witty banter, slow-burn romance, and unforgettable characters.",Fake dating has never looked this real.,Best Fake Dating Romance Books,February,,,,,,Yes,Bestseller,Film Rights,Very High,Very High,
Into the Blue,—,Emma Brodie,Female,USA,English,—,2022,368,—,—,Fiction,Contemporary Fiction,Romance,Women's Fiction,Adult,No,—,—,Yes,"Self-discovery, Love, Family","Emotional, Hopeful","Second Chance, Family Drama","Women's Fiction, Romance, Beach Read",Yes,Yes,Primary,Women's Fiction,Summer Read,Beginner,"Every Summer After, Nora Goes Off Script, Float Plan","A heartfelt novel about healing, family, and finding yourself again.",Emma Brodie delivers an emotional contemporary story perfect for readers seeking hope and fresh beginnings.,Sometimes you have to get lost before you find home.,Emotional Summer Reads,June,,,,,,Yes,—,No,Moderate,Moderate,
Girl Who Fell Beneath the Sea,—,Axie Oh,Female,USA,English,—,2022,336,—,—,Fiction,Fantasy,Romance,Korean Mythology Fantasy,Young Adult,No,—,—,Yes,"Sacrifice, Destiny, Love, Courage","Magical, Emotional","Myth Retelling, Chosen Heroine","Korean Mythology, YA Fantasy, Women Author",Yes,Yes,Primary,Korean Mythology,Mythology Read,Beginner,"Daughter of the Moon Goddess, Six Crimson Cranes, Spirited Away",A magical Korean mythology-inspired fantasy full of hope and sacrifice.,"Beautifully written and richly atmospheric, it's an ideal introduction to Korean-inspired fantasy.",She offered herself to save everyone else.,Korean Mythology Books,May,,,,,,Yes,Goodreads Choice Nominee,No,High,High,
When in Rome,—,Sarah Adams,Female,USA,English,—,2022,336,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,Yes,When in Rome,1,No,"Love, Family, Healing","Cozy, Funny, Romantic","Small Town, Celebrity Romance","Rom-Com, Small Town Romance, Women Author",Yes,Yes,Primary,Cozy Romance,Weekend Romance,Beginner,"Practice Makes Perfect, The Cheat Sheet, Part of Your World",A charming small-town romance that's as comforting as a warm hug.,"Sarah Adams delivers humor, lovable characters, and a romance readers can't help but root for.",Small towns have the biggest love stories.,Cozy Romance Recommendations,February,,,,,,Yes,Bestseller,No,High,High,
First Time Caller,—,B. K. Borison,Female,USA,English,—,2025,—,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,Yes,Heartstrings,1,No,"Love, Hope, Relationships","Cozy, Romantic",Friends to Lovers,"Romance, New Release, Women Author",Yes,Yes,Primary,Contemporary Romance,Cozy Weekend Read,Beginner,"Funny Story, Ready or Not, The Seven Year Slip",A heartwarming romance celebrating second chances and unexpected connections.,"B.K. Borison combines warmth, humor, and emotional depth in a comforting contemporary romance.",Sometimes one phone call changes everything.,New Romance Books,January,,,,,,Yes,—,No,Growing,Growing,
Mr. Wrong Number,—,Lynn Painter,Female,USA,English,—,2022,352,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,Yes,Mr. Wrong Number,1,No,"Love, Family, Friendship","Funny, Romantic","Texting Romance, Neighbours","Rom-Com, BookTok, Women Author",Yes,Yes,Primary,Romantic Comedy,Feel-Good Read,Beginner,"The Cheat Sheet, Better Than the Movies, Book Lovers",A hilarious rom-com full of texting mishaps and irresistible chemistry.,Lynn Painter's witty writing makes this one of the most bingeable contemporary romances.,One wrong text. One unforgettable romance.,Rom-Com Books to Binge,March,,,,,,Yes,Bestseller,No,Very High,Very High,
Practice Makes Perfect,—,Sarah Adams,Female,USA,English,—,2023,352,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,Yes,When in Rome,2,No,"Confidence, Love, Growth","Sweet, Romantic","Fake Dating, Small Town","Romance, Small Town Romance, Women Author",Yes,Yes,Primary,Cozy Romance,Weekend Read,Beginner,"When in Rome, The Cheat Sheet, Yours Truly","Sweet, funny, and comforting—a romance you'll finish with a smile.",Sarah Adams once again proves why she's a favorite for cozy contemporary romance readers.,Love isn't about perfection—it's about showing up.,Small Town Romance Books,February,,,,,,Yes,Bestseller,No,High,High,
The Happily Ever After Playlist,—,Abby Jimenez,Female,USA,English,—,2020,400,—,—,Fiction,Romance,Contemporary Fiction,Women's Fiction,Adult,Yes,Friend Zone,2,No,"Healing, Love, Grief","Emotional, Romantic","Celebrity Romance, Slow Burn","Romance, Emotional Romance, Women Author",Yes,Yes,Primary,Emotional Romance,Healing Read,Intermediate,"Yours Truly, Part of Your World, Just for the Summer","A beautiful romance about grief, hope, and beginning again.",Abby Jimenez balances emotional depth with humor and unforgettable romance.,Healing sometimes begins with an unexpected playlist.,Romance Books That Make You Cry,April,,,,,,Yes,Bestseller,No,Very High,Very High,
Book Lovers,—,Emily Henry,Female,USA,English,—,2022,384,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,No,—,—,Yes,"Family, Love, Ambition","Funny, Romantic, Emotional","Rivals to Lovers, Small Town","Romance, Book Lovers, BookTok, Women Author",Yes,Yes,Primary,Contemporary Romance,Book Lover Read,Beginner,"Beach Read, Funny Story, The Seven Year Slip",A romance written especially for people who love books.,"Emily Henry celebrates readers, publishing, family, and love with humor and heart.",Finally—a romance where the bookworm gets the happy ending.,Romance Books for Book Lovers,April,,,,,,Yes,Bestseller,No,Very High,Very High,
Yours Truly,—,Abby Jimenez,Female,USA,English,—,2023,400,—,—,Fiction,Romance,Contemporary Fiction,Women's Fiction,Adult,Yes,Part of Your World,2,No,"Anxiety, Love, Healing","Emotional, Hopeful","Fake Dating, Friends to Lovers","Romance, Mental Health, Women Author",Yes,Yes,Primary,Emotional Romance,Comfort Read,Intermediate,"Part of Your World, Just for the Summer, Book Lovers",A heartfelt romance that treats mental health with empathy and care.,"Abby Jimenez combines humor, emotional vulnerability, and memorable characters in one of her strongest novels.",Some love stories heal more than just hearts.,Romance Books with Mental Health Representation,May,,,,,,Yes,Bestseller,No,Very High,Very High,
Part of Your World,—,Abby Jimenez,Female,USA,English,—,2022,400,—,—,Fiction,Romance,Contemporary Fiction,Women's Fiction,Adult,Yes,Part of Your World,1,No,"Love, Family, Identity","Emotional, Romantic","Small Town, Opposites Attract","Romance, Women's Fiction, Women Author",Yes,Yes,Primary,Women's Fiction,Feel-Good Read,Beginner,"Yours Truly, Practice Makes Perfect, Things We Never Got Over",A warm romance about choosing happiness over expectations.,"Small-town charm, emotional growth, and lovable characters make this a modern romance favorite.",What if the life you need is nothing like the one you planned?,Small Town Romance Recommendations,March,,,,,,Yes,Bestseller,No,Very High,Very High,
The Cheat Sheet,—,Sarah Adams,Female,USA,English,—,2021,336,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,No,—,—,Yes,"Friendship, Love, Trust","Funny, Cozy, Romantic","Friends to Lovers, Sports Romance","Rom-Com, Sports Romance, Women Author",Yes,Yes,Primary,Sports Romance,Weekend Read,Beginner,"The Right Move, Mile High, Mr. Wrong Number",Friends-to-lovers romance that's equal parts adorable and hilarious.,Sarah Adams delivers one of the sweetest sports romances without relying on heavy drama.,The best love stories sometimes begin as friendships.,Friends to Lovers Romance Books,February,,,,,,Yes,Bestseller,No,High,High,
Summer in the City,—,Alex Aster,Female,USA,English,—,2025,—,—,—,Fiction,Romance,Contemporary Fiction,Romantic Comedy,Adult,No,—,—,Yes,"Love, Career, Self-discovery","Fun, Romantic, Lighthearted","City Romance, Enemies to Lovers","Romance, Summer Read, Women Author",Yes,Yes,Primary,Contemporary Romance,Summer Vacation Read,Beginner,"Funny Story, Beach Read, Book Lovers",A vibrant city romance perfect for readers looking for a light and entertaining escape.,"Alex Aster brings charm, chemistry, and modern romance together in a breezy contemporary novel.",Every city has one unforgettable summer.,Best Summer Romance Books,June,,,,,,Yes,—,No,Growing,Growing,
